#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100001450000000,-0.448137,-0.243227,0.646597,0.246198,0.027844,0.006302,-0.968799,-0.747030,-0.408948,0.240959
100001460000000,-0.455668,-0.247346,0.649026,0.246199,0.027585,0.006266,-0.968806,-0.752107,-0.411536,0.242547
100001470000000,-0.463249,-0.251491,0.651471,0.246200,0.027324,0.006229,-0.968814,-0.757136,-0.414104,0.244130
100001480000000,-0.470881,-0.255662,0.653932,0.246202,0.027059,0.006190,-0.968821,-0.762115,-0.416652,0.245705
100001490000000,-0.478561,-0.259858,0.656408,0.246203,0.026792,0.006151,-0.968828,-0.767044,-0.419180,0.247273
100001500000000,-0.486291,-0.264079,0.658900,0.246204,0.026521,0.006110,-0.968836,-0.771923,-0.421686,0.248833
100001510000000,-0.494069,-0.268325,0.661408,0.246205,0.026247,0.006067,-0.968843,-0.776752,-0.424171,0.250384
100001520000000,-0.501895,-0.272596,0.663931,0.246206,0.025970,0.006024,-0.968851,-0.781529,-0.426634,0.251927
100001530000000,-0.509768,-0.276891,0.666470,0.246207,0.025691,0.005978,-0.968858,-0.786254,-0.429074,0.253460
100001540000000,-0.517688,-0.281211,0.669023,0.246209,0.025409,0.005932,-0.968866,-0.790926,-0.431492,0.254983
100001550000000,-0.525654,-0.285555,0.671592,0.246210,0.025123,0.005883,-0.968873,-0.795546,-0.433886,0.256496
100001560000000,-0.533666,-0.289922,0.674176,0.246211,0.024834,0.005834,-0.968880,-0.800112,-0.436257,0.257999
100001570000000,-0.541723,-0.294313,0.676775,0.246212,0.024543,0.005782,-0.968888,-0.804625,-0.438604,0.259490
100001580000000,-0.549825,-0.298727,0.679389,0.246213,0.024249,0.005729,-0.968895,-0.809083,-0.440926,0.260970
100001590000000,-0.557971,-0.303165,0.682018,0.246215,0.023952,0.005675,-0.968903,-0.813486,-0.443223,0.262438
